Species,Trap,Latitude,Longitude,WnvPresent,AvgSpeed,Cool,Day_of_year,Depart,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Tavg,Tmax,Tmin
2318,CULEX PIPIENS/RESTUANS,T039,41.911824,-87.726737,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2319,CULEX PIPIENS,T039,41.911824,-87.726737,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2320,CULEX PIPIENS/RESTUANS,T060,41.823065,-87.678378,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2321,CULEX PIPIENS,T060,41.823065,-87.678378,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2322,CULEX PIPIENS/RESTUANS,T061,41.801179,-87.679447,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2323,CULEX RESTUANS,T061,41.801179,-87.679447,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2324,CULEX PIPIENS,T061,41.801179,-87.679447,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2325,CULEX TERRITANS,T061,41.801179,-87.679447,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2326,CULEX PIPIENS/RESTUANS,T062,41.800737,-87.71188,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2327,CULEX RESTUANS,T062,41.800737,-87.71188,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2328,CULEX PIPIENS,T062,41.800737,-87.71188,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2329,CULEX PIPIENS/RESTUANS,T065,41.778297,-87.752411,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2330,CULEX PIPIENS/RESTUANS,T065,41.778297,-87.752411,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2331,CULEX PIPIENS/RESTUANS,T065,41.778297,-87.752411,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2332,CULEX RESTUANS,T065,41.778297,-87.752411,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2333,CULEX PIPIENS,T065,41.778297,-87.752411,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2334,CULEX PIPIENS,T065,41.778297,-87.752411,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2335,CULEX PIPIENS/RESTUANS,T066,41.77166,-87.703047,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2336,CULEX PIPIENS,T066,41.77166,-87.703047,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2337,CULEX TERRITANS,T066,41.77166,-87.703047,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2338,CULEX PIPIENS/RESTUANS,T067,41.759346,-87.745602,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2339,CULEX PIPIENS,T067,41.759346,-87.745602,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2340,CULEX PIPIENS/RESTUANS,T069,41.768388,-87.678649,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2341,CULEX PIPIENS,T069,41.768388,-87.678649,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2342,CULEX PIPIENS/RESTUANS,T070,41.797616,-87.797894,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2343,CULEX PIPIENS,T070,41.797616,-87.797894,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2344,CULEX PIPIENS/RESTUANS,T071,41.781416,-87.776532,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2345,CULEX PIPIENS,T071,41.781416,-87.776532,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2346,CULEX PIPIENS/RESTUANS,T073,41.773215,-87.60088,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2347,CULEX PIPIENS,T073,41.773215,-87.60088,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2348,CULEX PIPIENS/RESTUANS,T074,41.822536,-87.666343,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2349,CULEX PIPIENS,T074,41.822536,-87.666343,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2350,CULEX PIPIENS/RESTUANS,T075,41.799282,-87.585487,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2351,CULEX PIPIENS,T075,41.799282,-87.585487,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2352,CULEX TERRITANS,T075,41.799282,-87.585487,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2353,CULEX PIPIENS/RESTUANS,T077,41.778748,-87.586427,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2354,CULEX PIPIENS/RESTUANS,T079,41.766202,-87.562889,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2355,CULEX PIPIENS,T079,41.766202,-87.562889,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2356,CULEX TERRITANS,T079,41.766202,-87.562889,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2357,CULEX PIPIENS/RESTUANS,T080,41.754676,-87.612922,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2358,CULEX RESTUANS,T080,41.754676,-87.612922,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2359,CULEX PIPIENS,T080,41.754676,-87.612922,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2360,CULEX PIPIENS/RESTUANS,T081,41.821582,-87.627796,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2361,CULEX PIPIENS,T081,41.821582,-87.627796,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2362,CULEX PIPIENS/RESTUANS,T082,41.803423,-87.642984,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2363,CULEX PIPIENS,T082,41.803423,-87.642984,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2364,CULEX PIPIENS/RESTUANS,T083,41.754292,-87.590773,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2365,CULEX PIPIENS,T083,41.754292,-87.590773,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2366,CULEX PIPIENS/RESTUANS,T114,41.798697,-87.736812,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2367,CULEX RESTUANS,T114,41.798697,-87.736812,1,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2368,CULEX PIPIENS,T114,41.798697,-87.736812,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2369,CULEX PIPIENS/RESTUANS,T155,41.776156,-87.778927,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2370,CULEX PIPIENS,T155,41.776156,-87.778927,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2371,CULEX PIPIENS/RESTUANS,T063,41.82561,-87.726549,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2372,CULEX PIPIENS,T063,41.82561,-87.726549,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2373,CULEX PIPIENS/RESTUANS,T072,41.74785,-87.702716,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2374,CULEX PIPIENS,T072,41.74785,-87.702716,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2375,CULEX PIPIENS/RESTUANS,T027,41.984809,-87.728492,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2376,CULEX PIPIENS,T027,41.984809,-87.728492,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2377,CULEX PIPIENS/RESTUANS,T156,41.772846,-87.740029,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2378,CULEX PIPIENS,T156,41.772846,-87.740029,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2379,CULEX PIPIENS/RESTUANS,T157,41.825902,-87.667827,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2380,CULEX PIPIENS,T157,41.825902,-87.667827,0,6.0,13.0,233,7.0,0.0,0.01,18,3.8,29.91,29.21,78.0,87,69
2381,CULEX PIPIENS,T086,41.688324,-87.676709,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2382,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2383,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2384,CULEX PIPIENS,T094,41.720848,-87.666014,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2385,CULEX TERRITANS,T094,41.720848,-87.666014,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2386,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2387,CULEX PIPIENS,T096,41.731922,-87.677512,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2388,CULEX PIPIENS,T096,41.731922,-87.677512,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2389,CULEX PIPIENS/RESTUANS,T159,41.732984,-87.649642,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2390,CULEX PIPIENS,T159,41.732984,-87.649642,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2391,CULEX TERRITANS,T159,41.732984,-87.649642,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2392,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2393,CULEX PIPIENS,T092,41.869216,-87.627561,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2394,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2395,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2396,CULEX PIPIENS,T135,41.662014,-87.724608,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2397,CULEX PIPIENS,T135,41.662014,-87.724608,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2398,CULEX PIPIENS,T135,41.662014,-87.724608,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2399,CULEX PIPIENS,T135,41.662014,-87.724608,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2400,CULEX PIPIENS,T135,41.662014,-87.724608,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2401,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2402,CULEX PIPIENS,T158,41.682587,-87.707973,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2403,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2404,CULEX PIPIENS,T162,41.725517,-87.614258,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2405,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2406,CULEX PIPIENS,T161,41.719059,-87.675088,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2407,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.688267,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2408,CULEX PIPIENS,T160,41.903002,-87.688267,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2409,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.703736,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2410,CULEX PIPIENS,T095,41.704336,-87.703736,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2411,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2412,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2413,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2414,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2415,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2416,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2417,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2418,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2419,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2420,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2421,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2422,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2423,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2424,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2425,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2426,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2427,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2428,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2429,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2430,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2431,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2432,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2433,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2434,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2435,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2436,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2437,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2438,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2439,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2440,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2441,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2442,CULEX PIPIENS,T115,41.673408,-87.599862,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2443,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2444,CULEX PIPIENS,T115,41.673408,-87.599862,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2445,CULEX PIPIENS/RESTUANS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2446,CULEX PIPIENS/RESTUANS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2447,CULEX PIPIENS/RESTUANS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2448,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2449,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2450,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2451,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2452,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2453,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2454,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2455,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2456,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2457,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2458,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2459,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2460,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2461,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2462,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2463,CULEX PIPIENS,T138,41.726465,-87.585413,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2464,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2465,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2466,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2467,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2468,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2469,CULEX PIPIENS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2470,CULEX TERRITANS,T138,41.726465,-87.585413,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2471,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2472,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2473,CULEX PIPIENS,T200,41.678618,-87.559308,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2474,CULEX PIPIENS,T200,41.678618,-87.559308,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2475,CULEX PIPIENS/RESTUANS,T206,41.737052,-87.543067,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2476,CULEX PIPIENS,T206,41.737052,-87.543067,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2477,CULEX PIPIENS/RESTUANS,T209,41.740641,-87.546587,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2478,CULEX PIPIENS,T209,41.740641,-87.546587,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2479,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2480,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2481,CULEX RESTUANS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2482,CULEX PIPIENS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2483,CULEX SALINARIUS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2484,CULEX TERRITANS,T212,41.680946,-87.535198,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2485,CULEX PIPIENS/RESTUANS,T215,41.686398,-87.531635,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2486,CULEX PIPIENS,T215,41.686398,-87.531635,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2487,CULEX TERRITANS,T215,41.686398,-87.531635,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2488,CULEX PIPIENS/RESTUANS,T107,41.729669,-87.582699,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2489,CULEX PIPIENS,T107,41.729669,-87.582699,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2490,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.565666,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2491,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.565666,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2492,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.565666,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2493,CULEX PIPIENS,T128,41.704572,-87.565666,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2494,CULEX PIPIENS,T128,41.704572,-87.565666,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2495,CULEX PIPIENS,T128,41.704572,-87.565666,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2496,CULEX PIPIENS,T128,41.704572,-87.565666,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2497,CULEX PIPIENS,T128,41.704572,-87.565666,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2498,CULEX PIPIENS/RESTUANS,T097,41.644612,-87.604498,1,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
2499,CULEX PIPIENS,T097,41.644612,-87.604498,0,9.5,15.0,234,9.0,0.0,0.37,21,5.3,29.94,29.23,80.0,90,69
